sample_id,timestep,q0,q1,p0,p1,tau0,tau1
0,0,-0.4971286,-0.5320101,6.4910297,1.7556,0.27220038,0.43693602
0,1,-0.49702424,-0.53218824,6.4899273,1.7549119,0.27231035,0.43657416
0,2,-0.4967581,-0.5321469,6.4908905,1.753653,0.27242184,0.4362132
0,3,-0.496796,-0.5323021,6.4889774,1.7545195,0.27253482,0.4358531
0,4,-0.49633223,-0.53243315,6.489727,1.754149,0.2726493,0.4354939
0,5,-0.49641347,-0.5324042,6.4891376,1.754652,0.27276528,0.43513554
0,6,-0.49611342,-0.532673,6.48917,1.7545428,0.27288273,0.43477806
0,7,-0.49595857,-0.53269863,6.490101,1.7549453,0.2730017,0.4344215
0,8,-0.49589777,-0.532865,6.4887695,1.7548523,0.27312213,0.43406582
0,9,-0.4956941,-0.53286237,6.4877014,1.7551384,0.27324402,0.43371102
0,10,-0.49562472,-0.53300387,6.488411,1.7551785,0.2733674,0.43335715
0,11,-0.4953506,-0.53297013,6.4873657,1.7552791,0.27349225,0.43300417
0,12,-0.49525476,-0.53308684,6.4888363,1.7555704,0.27361855,0.4326521
0,13,-0.49511963,-0.5330939,6.487221,1.7554345,0.27374628,0.43230093
0,14,-0.49506056,-0.5332032,6.4886093,1.7557969,0.2738755,0.43195066
0,15,-0.4948238,-0.53338146,6.4875603,1.7557087,0.27400613,0.43160135
0,16,-0.4948297,-0.53345,6.488579,1.7556024,0.2741382,0.43125293
0,17,-0.49462092,-0.5335588,6.487934,1.7558455,0.27427173,0.43090546
0,18,-0.49455875,-0.5334855,6.4888344,1.7561784,0.27440667,0.4305589
0,19,-0.4942752,-0.5336527,6.4883194,1.7560759,0.27454305,0.43021327
0,20,-0.494228,-0.5337205,6.4888496,1.7562099,0.27468082,0.4298686
0,21,-0.49412453,-0.53390074,6.4886093,1.7562861,0.27482003,0.42952487
0,22,-0.4939019,-0.5338773,6.4888744,1.7566628,0.27496064,0.42918208
0,23,-0.4938234,-0.5340432,6.4890213,1.7564292,0.27510262,0.42884025
0,24,-0.49368572,-0.5340315,6.4892235,1.7568092,0.27524602,0.42849937
0,25,-0.49356097,-0.53418845,6.489506,1.7568121,0.2753908,0.42815942
0,26,-0.49348032,-0.53427476,6.4896965,1.7569218,0.27553698,0.42782047
0,27,-0.493253,-0.53439957,6.4896584,1.7571039,0.27568454,0.42748246
0,28,-0.49316466,-0.5345353,6.4900475,1.7571578,0.27583346,0.42714542
0,29,-0.49297798,-0.5346613,6.489809,1.7574773,0.27598375,0.42680934
0,30,-0.49295026,-0.5346602,6.490715,1.757513,0.2761354,0.42647427
0,31,-0.492684,-0.53481853,6.489668,1.7575068,0.27628842,0.42614016
0,32,-0.49258554,-0.5348804,6.48967,1.7575836,0.2764428,0.42580703
0,33,-0.49242496,-0.5349383,6.489521,1.7576776,0.27659848,0.42547488
0,34,-0.4922924,-0.5350766,6.4887047,1.7576075,0.27675554,0.42514372
0,35,-0.49221092,-0.5351859,6.489216,1.7579274,0.2769139,0.42481354
0,36,-0.49211937,-0.5352309,6.4888077,1.758163,0.27707362,0.42448437
0,37,-0.4918453,-0.535318,6.4897995,1.7582726,0.27723464,0.42415622
0,38,-0.49178553,-0.53540003,6.4894924,1.7583308,0.27739698,0.42382905
0,39,-0.49164993,-0.5355834,6.4904594,1.7585697,0.27756065,0.4235029
0,40,-0.49155498,-0.535639,6.4905357,1.7584314,0.2777256,0.42317772
0,41,-0.49126232,-0.5356858,6.491152,1.7588143,0.27789184,0.4228536
0,42,-0.49125648,-0.5359257,6.4906845,1.7584553,0.2780594,0.42253047
0,43,-0.49094915,-0.5359763,6.491459,1.7590289,0.27822822,0.42220837
0,44,-0.490874,-0.53597283,6.4907875,1.7586169,0.27839833,0.42188728
0,45,-0.490735,-0.5361239,6.491537,1.759222,0.27856973,0.42156723
0,46,-0.4906633,-0.5362272,6.490616,1.7589765,0.27874237,0.4212482
0,47,-0.49048495,-0.5362705,6.491228,1.7593226,0.27891627,0.4209302
0,48,-0.49038595,-0.53643954,6.4901657,1.7591958,0.27909145,0.42061323
0,49,-0.4901051,-0.5364784,6.4908524,1.7595677,0.27926785,0.42029732
0,50,-0.49005163,-0.53663313,6.490034,1.7593331,0.2794455,0.41998243
0,51,-0.48986864,-0.5367062,6.4910564,1.7597599,0.2796244,0.4196686
0,52,-0.48970938,-0.53684723,6.490345,1.7594066,0.27980453,0.4193558
0,53,-0.48960543,-0.5368942,6.491043,1.7598686,0.27998587,0.41904408
0,54,-0.48944646,-0.53702635,6.490841,1.7595291,0.2801684,0.4187334
0,55,-0.48929393,-0.5371179,6.4917603,1.7599292,0.2803522,0.41842377
0,56,-0.48919284,-0.53716385,6.490448,1.7599936,0.28053716,0.4181152
0,57,-0.48897725,-0.5373044,6.4923058,1.7599425,0.28072333,0.4178077
0,58,-0.48890305,-0.5373526,6.4910316,1.7602868,0.2809107,0.41750127
0,59,-0.48871082,-0.53747916,6.49238,1.7602262,0.28109926,0.4171959
0,60,-0.4886601,-0.537614,6.491886,1.7604804,0.28128898,0.4168916
0,61,-0.48850632,-0.5376701,6.4924526,1.7603693,0.28147987,0.41658837
0,62,-0.48837256,-0.53773475,6.4927197,1.7606292,0.2816719,0.41628623
0,63,-0.4881553,-0.5379126,6.4925003,1.7605605,0.28186515,0.41598517
0,64,-0.4881965,-0.537989,6.492882,1.7611227,0.28205952,0.41568518
0,65,-0.48799026,-0.5380584,6.4923553,1.7608447,0.28225502,0.4153863
0,66,-0.4877696,-0.53822905,6.4922447,1.7609959,0.28245166,0.41508847
0,67,-0.48764205,-0.53833866,6.492153,1.7610574,0.28264946,0.41479176
0,68,-0.48753536,-0.53835166,6.4918747,1.7614927,0.28284836,0.41449612
0,69,-0.48738414,-0.538479,6.492653,1.7614264,0.28304836,0.41420162
0,70,-0.4872607,-0.5385679,6.4912643,1.7616029,0.2832495,0.41390818
0,71,-0.48710114,-0.53866476,6.4935246,1.7616439,0.28345174,0.41361585
0,72,-0.4869113,-0.53875595,6.491686,1.7616334,0.28365508,0.41332465
0,73,-0.4867742,-0.53890526,6.492634,1.7617478,0.2838595,0.41303453
0,74,-0.4866554,-0.5389309,6.492819,1.7618251,0.284065,0.41274554
0,75,-0.48655403,-0.53905576,6.4925613,1.7618604,0.28427157,0.41245764
0,76,-0.48644215,-0.5392031,6.493679,1.762073,0.28447923,0.41217086
0,77,-0.48628604,-0.53929174,6.492405,1.7622495,0.28468794,0.4118852
0,78,-0.486183,-0.53929657,6.491131,1.7624149,0.28489769,0.41160065
0,79,-0.48595184,-0.53953743,6.492565,1.7627044,0.2851085,0.41131726
0,80,-0.48583972,-0.5395259,6.4924965,1.7627487,0.28532034,0.41103494
0,81,-0.48569596,-0.5396482,6.492878,1.7628088,0.28553322,0.4107538
0,82,-0.4855109,-0.5397122,6.4923477,1.7627583,0.28574714,0.41047376
0,83,-0.48542368,-0.53976667,6.49337,1.7629342,0.28596207,0.41019484
0,84,-0.48522377,-0.53989005,6.49275,1.7629919,0.286178,0.4099171
0,85,-0.48509294,-0.54004127,6.4935036,1.7632542,0.28639495,0.40964046
0,86,-0.4849006,-0.54010797,6.493044,1.7632189,0.28661287,0.40936497
0,87,-0.48487175,-0.54013443,6.493128,1.7634997,0.2868318,0.4090906
0,88,-0.4846006,-0.5403839,6.4933357,1.7633095,0.2870517,0.4088174
0,89,-0.48460895,-0.5404338,6.493326,1.7636895,0.2872726,0.40854535
0,90,-0.4844166,-0.54050344,6.4934673,1.7634678,0.28749445,0.40827444
0,91,-0.48422068,-0.5406137,6.4936905,1.7635765,0.28771728,0.40800467
0,92,-0.48410612,-0.5406597,6.4931164,1.7637162,0.28794104,0.40773606
0,93,-0.4838913,-0.5407444,6.493328,1.7635012,0.28816575,0.40746862
0,94,-0.48389667,-0.5408857,6.49321,1.7638817,0.28839138,0.4072023
0,95,-0.48369944,-0.5409007,6.490383,1.7639494,0.28861797,0.40693718
0,96,-0.4835503,-0.54099596,6.4941635,1.7640128,0.28884545,0.4066732
0,97,-0.48341024,-0.5411213,6.4936695,1.7638736,0.28907388,0.40641037
0,98,-0.48319477,-0.5412545,6.49461,1.7641463,0.28930318,0.40614873
0,99,-0.4831428,-0.5412848,6.4947853,1.7641783,0.2895334,0.40588823
0,100,-0.48289138,-0.5413451,6.495075,1.7641478,0.28976452,0.40562892
0,101,-0.4828661,-0.5415042,6.4947186,1.7645278,0.28999653,0.40537077
0,102,-0.4827001,-0.5416111,6.4934044,1.7645769,0.29022938,0.40511382
0,103,-0.48252994,-0.541645,6.4948654,1.7649193,0.29046312,0.40485802
0,104,-0.48236835,-0.5417731,6.4935093,1.7643957,0.29069772,0.4046034
0,105,-0.4821818,-0.541899,6.4946213,1.765243,0.2909332,0.40434995
0,106,-0.48212785,-0.54192585,6.49444,1.764266,0.2911695,0.40409768
0,107,-0.4819001,-0.54208136,6.493885,1.7650337,0.29140663,0.4038466
0,108,-0.4818821,-0.54213494,6.494383,1.7646914,0.2916446,0.4035967
0,109,-0.48163247,-0.5421926,6.4934883,1.7654114,0.29188338,0.403348
0,110,-0.48145914,-0.5423056,6.494911,1.7648358,0.292123,0.40310046
0,111,-0.48134023,-0.5425051,6.4946938,1.7656536,0.2923634,0.40285414
0,112,-0.48127604,-0.5424374,6.4944134,1.7650895,0.2926046,0.402609
0,113,-0.4811058,-0.54269594,6.495865,1.7657003,0.29284662,0.40236503
0,114,-0.480901,-0.54263467,6.493904,1.7654324,0.2930894,0.4021223
0,115,-0.48084354,-0.54287595,6.4960175,1.7659802,0.29333293,0.4018807
0,116,-0.4806612,-0.54281336,6.494877,1.7657251,0.29357725,0.40164036
0,117,-0.4805177,-0.5430338,6.495142,1.7662845,0.29382235,0.4014012
0,118,-0.48044735,-0.5430348,6.4958,1.7659698,0.29406816,0.40116322
0,119,-0.4801631,-0.5432129,6.494602,1.7665768,0.29431474,0.40092647
0,120,-0.48006308,-0.54322803,6.4959946,1.7664208,0.29456204,0.4006909
0,121,-0.47998273,-0.5433427,6.4951305,1.7666669,0.2948101,0.40045655
0,122,-0.47974503,-0.54340273,6.4961586,1.7667651,0.29505882,0.4002234
0,123,-0.47969174,-0.54357225,6.495537,1.766777,0.2953083,0.39999145
0,124,-0.4795804,-0.5434789,6.4964733,1.7668777,0.29555845,0.39976072
0,125,-0.4794023,-0.5437565,6.495945,1.7671247,0.2958093,0.3995312
0,126,-0.47936106,-0.543595,6.495722,1.7670398,0.29606083,0.39930287
0,127,-0.47919732,-0.54407793,6.496128,1.7674708,0.29631305,0.39907578
0,128,-0.4790399,-0.5437687,6.4963856,1.7673507,0.29656592,0.3988499
0,129,-0.47883463,-0.5441733,6.496502,1.7675042,0.29681948,0.39862522
0,130,-0.4787233,-0.5440286,6.4974937,1.7672234,0.29707366,0.39840177
0,131,-0.478535,-0.54432535,6.4969673,1.7674546,0.2973285,0.39817953
0,132,-0.4783932,-0.54423374,6.4992714,1.7675157,0.29758397,0.39795852
0,133,-0.47829837,-0.5444163,6.496689,1.7678194,0.2978401,0.39773872
0,134,-0.47813296,-0.5444511,6.4972343,1.7677917,0.29809678,0.39752015
0,135,-0.478063,-0.5446058,6.496336,1.7682071,0.29835412,0.3973028
0,136,-0.47793972,-0.5445261,6.4952545,1.7677994,0.29861203,0.39708668
0,137,-0.47781003,-0.54477876,6.496195,1.7684135,0.29887056,0.39687178
0,138,-0.47771817,-0.54462874,6.4959927,1.7681298,0.29912966,0.3966581
0,139,-0.47745037,-0.54500604,6.4965153,1.7685547,0.29938933,0.39644566
0,140,-0.47736514,-0.5448914,6.4966927,1.7684579,0.2996496,0.39623442
0,141,-0.4770999,-0.5451579,6.4968834,1.768672,0.2999104,0.39602444
0,142,-0.4770372,-0.54515004,6.497488,1.7686782,0.30017176,0.39581567
0,143,-0.4768833,-0.54535264,6.4944153,1.768745,0.30043367,0.39560816
0,144,-0.47676522,-0.5453092,6.497492,1.7691016,0.30069607,0.39540184
0,145,-0.47667056,-0.54553676,6.496174,1.7691588,0.30095902,0.39519677
0,146,-0.47646213,-0.5455575,6.4967976,1.7691054,0.3012225,0.39499295
0,147,-0.47639477,-0.54564923,6.4978657,1.7692637,0.3014865,0.39479035
0,148,-0.47614795,-0.5457863,6.4964523,1.769381,0.30175096,0.39458898
0,149,-0.47608548,-0.5458887,6.497858,1.7692537,0.30201593,0.39438885
0,150,-0.47588181,-0.54594857,6.4970894,1.7694893,0.30228138,0.39418995
0,151,-0.4757762,-0.54608494,6.4980087,1.7691264,0.30254728,0.3939923
0,152,-0.4756785,-0.5460653,6.4973755,1.7695522,0.30281368,0.39379588
0,153,-0.47554845,-0.5461841,6.494108,1.7695799,0.3030805,0.3936007
0,154,-0.47533774,-0.5462557,6.4980583,1.7700338,0.3033478,0.39340675
0,155,-0.47533047,-0.5463312,6.4958,1.7697778,0.3036155,0.39321405
0,156,-0.4751864,-0.54646236,6.4976845,1.7695227,0.30388364,0.3930226
